Author,Title,Type of Ban,State,District,Origin of Challenge,Frequency,Date
"Cook, Trish",Notes from the Blender,Banned Pending Investigation,Texas,Fredericksburg independent school district,Administrator,3,2022-03-01
"Ortiz, Paul",An African American and Latinx History of the United States,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Ortiz, Paul",An African American and Latinx History of the United States,Banned Pending Investigation,Texas,Klein independent school district,Administrator,3,2021-11-01
"Ortiz, Paul",An African American and Latinx History of the United States,Banned in Classrooms,Pennsylvania,Central york school district,Administrator,3,2021-08-01
"Levy, Dana Alison",The Family Fletcher Takes Rock Island (Family Fletcher Series),Banned Pending Investigation,Florida,Walton county school district,Administrator,3,2022-04-01
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Colbert, Brandy",Little & Lion,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Colbert, Brandy",Little & Lion,Banned in Libraries and Classrooms,Florida,Indian river county school district,Administrator,3,2021-11-01
"Cook, Trish",Notes from the Blender,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned Pending Investigation,Texas,Klein independent school district,Administrator,3,2021-11-01
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned in Libraries,Texas,North east independent school district,Administrator,3,2021-12-01
"Levy, Dana Alison",The Family Fletcher Takes Rock Island (Family Fletcher Series),Banned in Libraries,Florida,Lee county schools,Administrator,3,2022-05-01
"Blackall, Sophie",The Baby Tree,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Blackall, Sophie",The Baby Tree,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Levy, Dana Alison",The Family Fletcher Takes Rock Island (Family Fletcher Series),Banned in Libraries and Classrooms,Florida,Jackson county school district,Administrator,3,2022-04-01
"Blackall, Sophie",The Baby Tree,Banned in Libraries and Classrooms,Wisconsin,School district of cadott community,Formal Challenge,3,2022-03-01
"Cook, Trish",Notes from the Blender,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Rivera, Gabby",Juliet Takes a Breath,Banned in Libraries and Classrooms,Georgia,Forsyth county schools,Administrator,3,2022-01-01
"Moore, Alan",V for Vendetta,Banned in Libraries,Texas,North east independent school district,Administrator,3,2021-12-01
"Craft, Jerry",Class Act,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Talley, Robin",As I Descended,Banned in Libraries,Texas,North east independent school district,Administrator,3,2021-12-01
"Lo, Malinda",Ash,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Peters, Julie Anne",grl2grl,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Juby, Susan",Another Kind of Cowboy,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Juby, Susan",Another Kind of Cowboy,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Juby, Susan",Another Kind of Cowboy,Banned in Libraries,Texas,North east independent school district,Administrator,3,2021-12-01
"Westerfeld, Scott",Afterworlds (Afterworlds Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Craft, Jerry",Class Act,Banned in Libraries,Texas,Katy independent school district,Administrator,3,2021-09-01
"Westerfeld, Scott",Afterworlds (Afterworlds Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Craft, Jerry",Class Act,Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Rivera, Gabby",Juliet Takes a Breath,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Rivera, Gabby",Juliet Takes a Breath,Banned Pending Investigation,Texas,Fredericksburg independent school district,Administrator,3,2022-03-01
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Westerfeld, Scott",Afterworlds (Afterworlds Series),Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
"Nelson, Jandy",I'll Give You the Sun,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"Moore, Alan",V for Vendetta,Banned in Classrooms,Texas,Leander independent school district,Administrator,3,2021-09-01
"Talley, Robin",As I Descended,Banned Pending Investigation,Tennessee,Collierville schools,Administrator,3,2022-02-01
"King, A. S.",Ask the Passengers,Banned Pending Investigation,Texas,North east independent school district,Administrator,3,2021-12-01
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,Georgia,Forsyth county schools,Formal Challenge,3,2021-12-01
"Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)",Banned Pending Investigation,Texas,Granbury independent school district,Administrator,3,2022-01-01
