State,ID,District,Students_tested,Reading_proficiency_rate,Average_proficiency,Diff_from_mean_abs
Alaska,200720,Unalaska city school district,225,44.0,54.32355555555556,10.323555555555558
Alaska,200730,Chatham school district,92,,54.32355555555556,
Alaska,200760,Kuspuk school district,179,,54.32355555555556,
Alaska,200770,Denali borough school district,490,51.0,54.32355555555556,3.323555555555558
Alaska,200775,Yukon flats school district,129,,54.32355555555556,
Alaska,200780,Valdez city school district,370,45.0,54.32355555555556,9.323555555555558
Alaska,200800,Chugach school district,129,,54.32355555555556,
Alaska,200810,Wrangell public school district,155,,54.32355555555556,
Alaska,200840,Yakutat school district,60,,54.32355555555556,
Alaska,200862,Yukon-koyukuk school district,620,32.0,54.32355555555556,22.323555555555558
Arizona,400001,Cave creek unified district,3042,56.0,54.32355555555556,1.6764444444444422
Arizona,400003,Chino valley unified district,1213,37.0,54.32355555555556,17.323555555555558
Arizona,400004,Clarkdale-jerome elementary district,321,39.0,54.32355555555556,15.323555555555558
Arizona,400005,Salome consolidated elementary district,65,,54.32355555555556,
Arizona,400016,Center for academic success  inc.,631,26.0,54.32355555555556,28.323555555555558
Arizona,400018,Pine forest education association  inc.,153,,54.32355555555556,
Arizona,400019,Flagstaff arts and leadership academy,159,,54.32355555555556,
Arizona,400020,Flagstaff montessori  l.l.c.,138,,54.32355555555556,
Arizona,400021,Colorado city unified district,256,32.0,54.32355555555556,22.323555555555558
Arizona,400022,Vernon elementary district,68,,54.32355555555556,
Arizona,400023,Pinon unified district,650,12.0,54.32355555555556,42.32355555555556
Arizona,400026,Heber-overgaard unified district,233,30.0,54.32355555555556,24.323555555555558
Arizona,400028,Triumphant learning center,69,,54.32355555555556,
Arizona,400031,Ridgeline academy  a challenge foundation academy,312,52.0,54.32355555555556,2.323555555555558
Arizona,400033,Boys & girls clubs of the east valley dba mesa arts academy,155,,54.32355555555556,
Arizona,400034,Reid traditional schools' valley academy  inc.,449,74.0,54.32355555555556,19.676444444444442
Arizona,400036,Foothills academy,189,,54.32355555555556,
Arizona,400037,Twenty first century charter school  inc. bennett academy,185,,54.32355555555556,
Arizona,400040,Step up schools  inc.,52,,54.32355555555556,
Arizona,400041,Maricopa county community college district dba gateway early,57,,54.32355555555556,
Arizona,400043,New school for the arts,35,,54.32355555555556,
Arizona,400047,Salt river pima-maricopa  community schools,103,,54.32355555555556,
Arizona,400052,Espiritu community development corp.,144,,54.32355555555556,
Arizona,400053,Heritage academy  inc.,247,74.0,54.32355555555556,19.676444444444442
Arizona,400054,Villa montessori charter school,311,64.0,54.32355555555556,9.676444444444442
Arizona,400055,Edupreneurship  inc.,33,,54.32355555555556,
Arizona,400056,Arizona school for the arts,516,82.0,54.32355555555556,27.676444444444442
Arizona,400057,Arizona call-a-teen youth resources  inc.,24,,54.32355555555556,
Arizona,400061,Intelli-school  inc.,22,,54.32355555555556,
Arizona,400065,Benjamin franklin charter school,1544,62.0,54.32355555555556,7.676444444444442
Arizona,400067,Victory high school  inc.,3,,54.32355555555556,
Arizona,400068,Montessori day public schools chartered  inc.,133,,54.32355555555556,
Arizona,400069,Khalsa montessori elementary schools,53,,54.32355555555556,
Arizona,400070,Tempe preparatory academy,51,,54.32355555555556,
Arizona,400071,Bright beginnings school  inc.,172,,54.32355555555556,
Arizona,400072,Montessori education centre charter school,158,,54.32355555555556,
Arizona,400074,Kingman academy of learning,746,52.0,54.32355555555556,2.323555555555558
Arizona,400075,Young scholars academy charter school corp.,237,42.0,54.32355555555556,12.323555555555558
Arizona,400077,Career development  inc.,31,,54.32355555555556,
Arizona,400078,Edge school  inc.  the,70,,54.32355555555556,
Arizona,400079,Tucson youth development/ace charter high school,45,,54.32355555555556,
Arizona,400081,Presidio school,217,46.0,54.32355555555556,8.323555555555558
